  win   (r, c)   taps 0-2   | taps 3-5   | taps 6-8    position
 363 (11,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 364 (11,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 365 (11,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 366 (11,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 367 (11,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 368 (11,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 369 (11,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 370 (11,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 371 (11,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 372 (11,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 373 (11,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 374 (11,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 375 (11,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 376 (11,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 377 (11,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 378 (11,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 379 (11,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 380 (11,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 381 (11,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 382 (11,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 383 (11,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 384 (12, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 385 (12, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 386 (12, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 387 (12, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 388 (12, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 389 (12, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 390 (12, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 391 (12, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 392 (12, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 393 (12, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 394 (12,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 395 (12,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 396 (12,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 397 (12,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 398 (12,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 399 (12,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 400 (12,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 401 (12,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 402 (12,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 403 (12,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 404 (12,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 405 (12,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 406 (12,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 407 (12,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 408 (12,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 409 (12,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 410 (12,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 411 (12,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 412 (12,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 413 (12,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 414 (12,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 415 (12,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 416 (13, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 417 (13, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 418 (13, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 419 (13, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 420 (13, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 421 (13, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 422 (13, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 423 (13, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 424 (13, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 425 (13, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 426 (13,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 427 (13,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 428 (13,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 429 (13,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 430 (13,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 431 (13,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 432 (13,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 433 (13,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 434 (13,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 435 (13,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 436 (13,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 437 (13,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 438 (13,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 439 (13,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 440 (13,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 441 (13,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 442 (13,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 443 (13,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 444 (13,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 445 (13,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 446 (13,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 447 (13,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 448 (14, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 449 (14, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 450 (14, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 451 (14, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 452 (14, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 453 (14, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 454 (14, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 455 (14, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 456 (14, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 457 (14, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 458 (14,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 459 (14,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 460 (14,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 461 (14,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 462 (14,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 463 (14,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 464 (14,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 465 (14,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 466 (14,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 467 (14,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 468 (14,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 469 (14,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 470 (14,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 471 (14,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 472 (14,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 473 (14,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 474 (14,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 475 (14,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 476 (14,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 477 (14,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 478 (14,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 479 (14,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 480 (15, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 481 (15, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 482 (15, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 483 (15, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 484 (15, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 485 (15, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 486 (15, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 487 (15, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 488 (15, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 489 (15, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 490 (15,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 491 (15,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 492 (15,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 493 (15,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 494 (15,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 495 (15,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 496 (15,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 497 (15,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 498 (15,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 499 (15,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 500 (15,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 501 (15,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 502 (15,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 503 (15,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 504 (15,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 505 (15,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 506 (15,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 507 (15,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 508 (15,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 509 (15,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 510 (15,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 511 (15,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 512 (16, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 513 (16, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 514 (16, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 515 (16, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 516 (16, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 517 (16, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 518 (16, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 519 (16, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 520 (16, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 521 (16, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 522 (16,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 523 (16,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 524 (16,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 525 (16,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 526 (16,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 527 (16,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 528 (16,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 529 (16,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 530 (16,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 531 (16,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 532 (16,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 533 (16,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 534 (16,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 535 (16,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 536 (16,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 537 (16,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 538 (16,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 539 (16,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 540 (16,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 541 (16,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 542 (16,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 543 (16,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 544 (17, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 545 (17, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 546 (17, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 547 (17, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 548 (17, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 549 (17, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 550 (17, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 551 (17, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 552 (17, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 553 (17, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 554 (17,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 555 (17,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 556 (17,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 557 (17,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 558 (17,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 559 (17,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 560 (17,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 561 (17,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 562 (17,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 563 (17,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 564 (17,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 565 (17,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 566 (17,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 567 (17,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 568 (17,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 569 (17,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 570 (17,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 571 (17,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 572 (17,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 573 (17,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 574 (17,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 575 (17,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 576 (18, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 577 (18, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 578 (18, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 579 (18, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 580 (18, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 581 (18, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 582 (18, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 583 (18, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 584 (18, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 585 (18, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 586 (18,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 587 (18,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 588 (18,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 589 (18,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 590 (18,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 591 (18,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 592 (18,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 593 (18,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 594 (18,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 595 (18,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 596 (18,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 597 (18,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 598 (18,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 599 (18,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 600 (18,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 601 (18,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 602 (18,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 603 (18,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 604 (18,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 605 (18,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 606 (18,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 607 (18,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 608 (19, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 609 (19, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 610 (19, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 611 (19, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 612 (19, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 613 (19, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 614 (19, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 615 (19, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 616 (19, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 617 (19, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 618 (19,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 619 (19,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 620 (19,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 621 (19,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 622 (19,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 623 (19,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 624 (19,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 625 (19,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 626 (19,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 627 (19,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 628 (19,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 629 (19,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 630 (19,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 631 (19,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 632 (19,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 633 (19,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 634 (19,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 635 (19,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 636 (19,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 637 (19,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 638 (19,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 639 (19,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 640 (20, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 641 (20, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 642 (20, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 643 (20, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 644 (20, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 645 (20, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 646 (20, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 647 (20, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 648 (20, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 649 (20, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 650 (20,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 651 (20,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 652 (20,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 653 (20,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 654 (20,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 655 (20,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 656 (20,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 657 (20,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 658 (20,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 659 (20,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 660 (20,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 661 (20,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 662 (20,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 663 (20,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 664 (20,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 665 (20,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 666 (20,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 667 (20,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 668 (20,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 669 (20,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 670 (20,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 671 (20,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 672 (21, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 673 (21, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 674 (21, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 675 (21, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 676 (21, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 677 (21, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 678 (21, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 679 (21, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 680 (21, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 681 (21, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 682 (21,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 683 (21,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 684 (21,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 685 (21,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 686 (21,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 687 (21,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 688 (21,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 689 (21,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 690 (21,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 691 (21,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 692 (21,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 693 (21,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 694 (21,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 695 (21,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 696 (21,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 697 (21,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 698 (21,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 699 (21,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 700 (21,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 701 (21,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 702 (21,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 703 (21,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 704 (22, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 705 (22, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 706 (22, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 707 (22, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 708 (22, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 709 (22, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 710 (22, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 711 (22, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 712 (22, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 713 (22, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 714 (22,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 715 (22,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 716 (22,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 717 (22,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 718 (22,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 719 (22,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 720 (22,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 721 (22,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 722 (22,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 723 (22,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 724 (22,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 725 (22,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 726 (22,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 727 (22,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 728 (22,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 729 (22,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 730 (22,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 731 (22,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 732 (22,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 733 (22,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 734 (22,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 735 (22,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 736 (23, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 737 (23, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 738 (23, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 739 (23, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 740 (23, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
